ID,city,state_name,fun_fact,Unnamed: 0,city_ascii,state_id,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,active_cities
17,Seattle,Washington,"Seattle is home to the iconic Space Needle Seattle is also known for its coffee culture, with Starbucks originating there.",11,Seattle,WA,53033,King,47.6211,-122.3244,3789215,3469,polygon,False,True,America/Los_Angeles,1,98109 98108 98104 98107 98106 98101 98103 98102 98105 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133 98111 98113 98114 98124 98127 98129 98139 98141 98145 98161 98165 98170 98175 98181 98185 98191 98194,1840021117,0
18,Denver,Colorado,"Denver is known as the Mile-High City, located exactly 5,280 feet above sea level Denver is also famous for its craft beer scene, with many breweries across the city.",17,Denver,CO,8031,Denver,39.7621,-104.8759,2876625,1831,polygon,False,True,America/Denver,1,80264 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80219 80210 80211 80212 80216 80221 80220 80223 80222 80224 80227 80209 80207 80206 80205 80204 80202 80014 80203 80208 80217 80243 80244 80248 80250 80256 80257 80259 80261 80262 80265 80266 80271 80273 80274 80281 80291 80299,1840018789,0
19,El Paso,Texas,"El Paso is the largest U.S city on the border with Mexico El Paso is known for its blend of American and Mexican culture, including unique food and festivals.",57,El Paso,TX,48141,El Paso,31.8479,-106.4309,843386,1022,polygon,False,True,America/Denver,2,79901 79902 79903 79904 79905 79906 79907 79930 79932 79935 79934 79936 79912 79911 79835 79922 79920 79927 79924 79925 79915 79910 79913 79914 79917 79923 79926 79931 79937 79940 79941 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79958 79960 79961 79968 79976 79978 79980 79995 79996 79997 79998 79999 88540 88541 88542 88543 88544 88545 88546 88547 88548 88549 88550 88553 88554 88555 88556 88557 88558 88559 88560 88561 88562 88563 88565 88566 88567 88568 88569 88570 88571 88572 88573 88574 88575 88576 88577 88578 88579 88580 88581 88582 88583 88584 88585 88586 88588 88590 88595,1840023252,0
20,Detroit,Michigan,"Detroit is the birthplace of the American automobile industry Detroit is also known for its rich music history, including the Motown sound.",13,Detroit,MI,26163,Wayne,42.3834,-83.1024,3506126,1864,polygon,False,True,America/Detroit,1,48209 48208 48201 48207 48205 48204 48203 48206 48227 48238 48239 48234 48235 48233 48202 48243 48214 48215 48216 48217 48210 48211 48212 48213 48219 48228 48224 48226 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,1840003971,0
21,Washington,District of Columbia,"Washington, D.C is the U.S capital and home to national landmarks like the White House Washington, D.C is also famous for its museums, including the Smithsonian Institution.",8,Washington,DC,11001,District of Columbia,38.9047,-77.0163,5379184,4457,polygon,False,True,America/New_York,1,20010 20011 20012 20015 20228 20520 20307 20418 20319 20024 20510 20593 20020 20427 20540 20240 20245 20204 20202 20390 20006 20005 20004 20003 20002 20009 20008 20535 20317 20405 20057 20052 20053 20017 20018 20565 20566 20560 20260 20064 20551 20553 20019 20230 20373 20007 20032 20036 20037 20506 20001 20045 20016 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20055 20056 20058 20059 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20220 20221 20222 20223 20224 20226 20227 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20250 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20388 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20406 20407 20408 20410 20411 20412 20413 20414 20415 20416 20417 20419 20420 20421 20422 20423 20424 20425 20426 20428 20429 20431 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20507 20508 20509 20511 20515 20521 20522 20523 20524 20525 20526 20527 20528 20529 20530 20531 20533 20534 20536 20537 20538 20539 20541 20542 20543 20544 20546 20547 20548 20549 20552 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20591 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060,0
22,Boston,Massachusetts,"Boston is home to the first public park in the U.S., Boston Common Boston is also known for its rich history, especially during the American Revolution.",9,Boston,MA,25025,Suffolk,42.3188,-71.0846,4688346,5532,polygon,False,True,America/New_York,1,02120 02121 02122 02124 02125 02126 02127 02128 02129 02467 02210 02215 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02205 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298,1840000455,0
23,Memphis,Tennessee,"Memphis is the birthplace of blues music and home to Graceland, Elvis Presley’s mansion Memphis is also famous for its barbecued ribs, a staple of Southern cuisine.",46,Memphis,TN,47157,Shelby,35.1046,-89.9773,1066967,792,polygon,False,True,America/Chicago,1,38120 38127 38107 38106 38105 38104 38103 38109 38108 38152 38132 38133 38131 38134 38141 38112 38111 38114 38115 38116 38117 38118 38119 38018 38016 38128 38122 38125 38126 37501 37544 38088 38101 38113 38124 38130 38136 38137 38145 38148 38150 38151 38157 38159 38161 38163 38166 38168 38173 38174 38175 38177 38181 38182 38184 38186 38187 38188 38190 38193 38194 38197,1840015457,0
24,Nashville,Tennessee,"Nashville is known as the ‘Music City’ due to its country music scene Nashville is also known for its hot chicken, a spicy local dish.",44,Nashville,TN,47037,Davidson,36.1715,-86.7843,1081903,544,polygon,False,True,America/Chicago,1,37027 37138 37076 37072 37205 37201 37206 37240 37243 37246 37080 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37209 37208 37204 37207 37203 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37238 37241 37242 37244 37250,1840036155,0
25,Portland,Oregon,"Portland is known for its eco-friendly culture and numerous parks Portland is also famous for its food trucks, offering a wide variety of cuisines.",23,Portland,OR,41051,Multnomah,45.5372,-122.65,2074775,1894,polygon,False,True,America/Los_Angeles,1,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97266 97218 97236 97232 97233 97230 97239 97219 97214 97215 97216 97217 97210 97211 97212 97213 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97280 97282 97283 97286 97290 97291 97292 97293 97294,1840019941,0
26,Oklahoma City,Oklahoma,Oklahoma City is home to the National Cowboy & Western Heritage Museum Oklahoma City is also known for its thriving arts scene and outdoor activities.,50,Oklahoma City,OK,40109,Oklahoma,35.4676,-97.5136,972943,417,polygon,False,True,America/Chicago,2,73012 73013 73099 73097 73119 73118 73114 73117 73116 73111 73112 73020 73173 74857 73142 73141 73145 73149 73078 73109 73106 73107 73139 73132 73131 73135 73134 73008 73084 73105 73169 73162 73165 73102 73103 73054 73151 73150 73159 73064 73108 73104 73129 73179 73170 73049 73127 73120 73121 73122 73128 73101 73113 73124 73125 73126 73136 73137 73143 73144 73146 73147 73148 73152 73154 73155 73157 73163 73164 73167 73172 73178 73184 73189 73190 73194 73195,1840020428,0
27,Las Vegas,Nevada,"Las Vegas is known for its vibrant nightlife centered around 24-hour casinos Las Vegas is also home to the largest hotel in the world, The Venetian Resort.",22,Las Vegas,NV,32003,Clark,36.2333,-115.2654,2104198,1773,polygon,False,True,America/Los_Angeles,1,89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89149 89124 89110 89117 89129 89128 88901 88905 89105 89114 89116 89125 89126 89127 89133 89137 89140 89151 89152 89153 89155 89158 89163 89185 89195,1840020364,0
28,Baltimore,Maryland,"Baltimore is home to the U.S.S Constellation, the oldest active-duty warship Baltimore is also known for its crab cakes, a Maryland specialty.",21,Baltimore,MD,24510,Baltimore,39.3051,-76.6144,2106068,2830,polygon,False,True,America/New_York,1,21218 21211 21210 21213 21212 21215 21214 21217 21216 21231 21230 21239 21251 21209 21202 21206 21207 21205 21226 21201 21223 21224 21225 21229 21203 21233 21263 21264 21270 21273 21275 21278 21279 21281 21287 21290 21297 21298,1840001592,0
29,Louisville,Kentucky,"Louisville is famous for being the birthplace of the Kentucky Derby horse race Louisville is also known for its bourbon, produced in the heart of the Bourbon Trail.",49,Louisville,KY,21111,Jefferson,38.1663,-85.6485,1005654,905,polygon,False,True,America/New_York,1,40177 40245 40241 40218 40219 40214 40216 40211 40213 40059 40291 40299 40220 40223 40222 40229 40228 40023 40272 40207 40209 40258 40118 40018 40027 40225 40261 40268 40269 40281,1840030815,0
30,Milwaukee,Wisconsin,"Milwaukee is known for its beer culture and is home to Miller Brewing Company Milwaukee is also famous for its Harley-Davidson Museum, celebrating the iconic motorcycle brand.",40,Milwaukee,WI,55079,Milwaukee,43.0642,-87.9673,1365787,2369,polygon,False,True,America/Chicago,1,53203 53202 53207 53206 53205 53204 53209 53208 53233 53211 53218 53219 53214 53215 53216 53210 53212 53213 53295 53225 53224 53227 53226 53221 53220 53223 53222 53228 53201 53237 53259 53263 53274 53278 53288 53290 53293,1840003046,0
31,Kansas City,Missouri,"Kansas City is known for its jazz music and rich cultural history Kansas City is also famous for its barbecue, particularly its unique style of sauce.",33,Kansas City,MO,29095,Jackson,39.1239,-94.5541,1636715,607,polygon,False,True,America/Chicago,1,64161 64163 64165 64167 64053 64151 64153 64155 64154 64157 64156 64158 64108 64109 64102 64106 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64192 64119 64118 64114 64117 64116 64111 64110 64113 64112 64132 64130 64146 64145 64149 64147 64139 64138 64133 64131 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535,0
32,Cleveland,Ohio,"Cleveland is home to the Rock and Roll Hall of Fame Cleveland is also known for its thriving theater scene, particularly the Cleveland Play House.",29,Cleveland,OH,39035,Cuyahoga,41.4767,-81.6804,1710093,1893,polygon,False,True,America/New_York,1,44135 44128 44119 44113 44112 44111 44110 44115 44114 44144 44127 44120 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,1840000596,0
33,Tampa,Florida,"Tampa is home to the historic Ybor City, known for its cigar-making culture Tampa is also famous for its theme parks, including Busch Gardens.",16,Tampa,FL,12057,Hillsborough,27.9942,-82.4451,2908063,1353,polygon,False,True,America/New_York,1,33637 33629 33621 33620 33619 33616 33613 33610 33617 33614 33611 33612 33605 33603 33647 33609 33604 33607 33606 33602 33608 33622 33623 33630 33631 33633 33646 33650 33655 33664 33672 33673 33674 33677 33679 33681 33684 33686 33689,1840015982,0
34,Raleigh,North Carolina,Raleigh is known as the 'City of Oaks' for its many oak trees Raleigh is also home to the North Carolina Museum of Natural Sciences.,47,Raleigh,NC,37183,Wake,35.8325,-78.6435,1038738,1254,polygon,False,True,America/New_York,1,27617 27616 27615 27614 27613 27612 27610 27608 27609 27601 27603 27604 27605 27606 27607 27602 27619 27620 27622 27624 27626 27627 27628 27634 27636 27640 27650 27656 27658 27661 27668 27675 27676 27690 27697 27698,1840014497,0
35,Minneapolis,Minnesota,"Minneapolis is known for its parks and over 13 lakes within the city limits Minneapolis is also famous for its art scene, including the Walker Art Center.",15,Minneapolis,MN,27053,Hennepin,44.9635,-93.2678,2977172,3071,polygon,False,True,America/Chicago,1,55403 55409 55408 55407 55406 55405 55404 55402 55401 55430 55454 55455 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417 55440 55458 55459 55467 55470 55472 55474 55478 55479 55480 55483 55484 55485 55486 55487 55488,1840007830,0
36,St. Louis,Missouri,"St Louis is home to the Gateway Arch, the tallest man-made monument in the U.S St Louis is also known for its rich history in jazz and blues music.",25,St. Louis,MO,29510,St. Louis,38.6358,-90.2451,2024074,1879,polygon,False,True,America/Chicago,1,63110 63111 63112 63113 63115 63116 63118 63120 63139 63107 63106 63104 63103 63102 63101 63109 63108 63155 63137 63143 63147 63150 63156 63157 63158 63160 63163 63164 63166 63169 63177 63178 63179 63180 63188 63197,1840001651,0
37,Miami,Florida,"Miami is famous for its vibrant nightlife and South Beach Miami is also known for its cultural diversity, with a large Latin American influence.",3,Miami,FL,12086,Miami-Dade,25.7839,-80.2102,6445545,5019,polygon,False,True,America/New_York,1,33129 33125 33126 33127 33128 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109 33111 33151 33222 33231 33233 33238 33255 33299,1840015149,0
